Source,Target,Type,Weight
41,12,Undirected,1495756
41,11,Undirected,1495756
28,229,Undirected,2777459.333
12,229,Undirected,2777459.333
17,100,Undirected,15450355.33
101,27,Undirected,3930233.667
4,90,Undirected,1557331.667
6,108,Undirected,3050465.333
17,32,Undirected,6547905.667
77,1,Undirected,2346898.667
97,1,Undirected,1295471
78,1,Undirected,1295471
31,8,Undirected,6588285.333
31,6,Undirected,7518846.333
102,1,Undirected,786969
8,103,Undirected,3912705
103,27,Undirected,3912705
30,7,Undirected,1569739.333
7,33,Undirected,1569739.333
18,14,Undirected,217847.5
14,14,Undirected,241208
97,5,Undirected,3403179.5
1,129,Undirected,1045991
21,8,Undirected,2637161
48,48,Undirected,7584589.667
9,32,Undirected,1036469.667
6,230,Undirected,3522904.333
17,24,Undirected,534298.5
35,73,Undirected,586941.6667
21,7,Undirected,2135304.333
37,29,Undirected,199120
2,64,Undirected,199120
29,29,Undirected,199120
14,29,Undirected,199120
64,29,Undirected,199120
64,65,Undirected,199120
17,16,Undirected,4827475
4,78,Undirected,6403259.5
24,24,Undirected,2732416
92,10,Undirected,1932150
24,176,Undirected,1932150
104,3,Undirected,4440910
105,3,Undirected,5457278.5
105,11,Undirected,5457278.5
8,94,Undirected,1052607
4,94,Undirected,245167
4,129,Undirected,2766618.667
4,95,Undirected,2644051
36,6,Undirected,3897745
49,8,Undirected,5926097.333
10,74,Undirected,2035012
92,1,Undirected,3391213
1,176,Undirected,3391213
9,35,Undirected,651506
4,73,Undirected,1727616.5
4,26,Undirected,1727616.5
73,10,Undirected,1727616.5
10,26,Undirected,1727616.5
106,36,Undirected,3278684.5
92,3,Undirected,3130989
107,3,Undirected,3130989
3,176,Undirected,3130989
8,229,Undirected,6137608.333
27,229,Undirected,6137608.333
67,10,Undirected,8493247.667
8,63,Undirected,7564952.667
43,10,Undirected,8493247.667
43,27,Undirected,10190470
68,10,Undirected,8493247.667
16,6,Undirected,3660859.333
41,10,Undirected,13302278.67
8,108,Undirected,2429884.333
108,27,Undirected,2429884.333
5,208,Undirected,5393305.5
95,10,Undirected,2870613.333
109,5,Undirected,2870613.333
109,10,Undirected,2870613.333
8,43,Undirected,3422123
5,233,Undirected,3468578
4,29,Undirected,3228791.333
29,27,Undirected,2457856.333
30,16,Undirected,2833895
16,33,Undirected,2833895
16,29,Undirected,2833895
50,4,Undirected,1903271.667
4,66,Undirected,1903271.667
96,5,Undirected,795547.5
96,2,Undirected,907341.5
6,2,Undirected,3726386.5
101,11,Undirected,1501225.5
7,229,Undirected,864464.3333
10,110,Undirected,1974994
110,27,Undirected,1588928.333
42,27,Undirected,624192.5
16,1,Undirected,1935260.333
42,100,Undirected,702425
10,145,Undirected,8075296
21,12,Undirected,1143550
