,song_popularity,explicit,track_number,num_artists,num_available_markets,release_date,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,artist_1,artist_2,followers_artist1,popularity_artist1,genres_artist1,followers_artist2,popularity_artist2,genres_artist2
3964,83,False,1,2,79,2019-06-21,181823,4,1,4,0.0667,0.659,0.623,0.0,0.582,-2.253,0.0451,0.439,88.042,Marshmello,Kane Brown,23115050,87,"['brostep', 'pop', 'progressive electro house']",2409985,80,"['contemporary country', 'country road']"
3965,77,False,1,2,79,2018-01-12,177600,7,1,4,0.0145,0.546,0.822,0.0,0.742,-4.483,0.151,0.615,150.06,Marshmello,Lil Peep,23115050,87,"['brostep', 'pop', 'progressive electro house']",3591545,87,"['emo rap', 'lgbtq+ hip hop']"
3966,66,False,12,2,78,2019-07-03,237203,11,1,4,0.00803,0.433,0.905,0.0,0.337,-2.171,0.101,0.375,148.149,Marshmello,A Day To Remember,23115050,87,"['brostep', 'pop', 'progressive electro house']",1638565,74,"['metalcore', 'pop punk', 'screamo']"
3967,57,False,1,2,78,2019-06-14,237203,11,1,4,0.00938,0.45,0.896,0.0,0.416,-2.52,0.0882,0.392,148.126,Marshmello,A Day To Remember,23115050,87,"['brostep', 'pop', 'progressive electro house']",1638565,74,"['metalcore', 'pop punk', 'screamo']"
3968,88,False,1,2,79,2018-08-17,214289,5,1,4,0.191,0.687,0.792,0.0,0.167,-2.749,0.0452,0.671,100.015,Marshmello,Bastille,23115050,87,"['brostep', 'pop', 'progressive electro house']",4237513,81,"['metropopolis', 'modern rock', 'pop', 'pop rock']"
3969,61,False,8,2,79,2018-01-26,214960,9,1,4,0.126,0.56,0.761,0.0,0.0896,-5.202,0.0879,0.236,140.555,Craig David,Bastille,557901,70,"['british soul', 'dance pop', 'pop', 'pop rap', 'r&b', 'tropical house', 'urban contemporary']",4237513,81,"['metropopolis', 'modern rock', 'pop', 'pop rock']"
3970,4,False,1,2,0,2017-11-24,214960,9,1,4,0.151,0.56,0.746,0.0,0.0834,-5.098,0.0894,0.259,140.813,Craig David,Bastille,557901,70,"['british soul', 'dance pop', 'pop', 'pop rap', 'r&b', 'tropical house', 'urban contemporary']",4237513,81,"['metropopolis', 'modern rock', 'pop', 'pop rock']"
3971,71,False,1,2,79,2018-12-06,198074,4,1,4,0.331,0.598,0.904,0.0,0.264,-2.293,0.0507,0.503,138.091,Seeb,Bastille,141404,75,"['dance pop', 'edm', 'electro house', 'norwegian pop', 'pop', 'pop edm', 'tropical house']",4237513,81,"['metropopolis', 'modern rock', 'pop', 'pop rock']"
3972,46,True,16,2,79,2018-12-07,238853,1,1,4,0.396,0.765,0.601,0.000121,0.234,-7.225,0.095,0.309,114.723,Lomepal,Philippe Katerine,915380,72,"['french hip hop', 'new french touch', 'rap conscient']",47286,54,"['chanson', 'french indie pop', 'french indietronica', 'french rock', 'nouvelle chanson francaise']"
3973,61,True,3,2,79,2019-10-25,169880,4,0,4,0.472,0.718,0.449,0.0739,0.278,-9.694,0.229,0.479,79.963,Lomepal,Caballero,915380,72,"['french hip hop', 'new french touch', 'rap conscient']",22000,52,"['belgian hip hop', 'french hip hop']"
3974,41,True,3,4,79,2017-10-06,231000,2,1,4,0.444,0.778,0.499,0.0,0.0865,-8.257,0.371,0.293,135.768,Sneazzy,Caballero,212288,67,"['french hip hop', 'pop urbaine', 'rap francais']",22000,52,"['belgian hip hop', 'french hip hop']"
3975,48,True,1,2,79,2018-09-17,237120,3,0,4,0.294,0.732,0.539,4.79e-05,0.11,-8.084,0.113,0.403,102.952,Lomepal,Roméo Elvis,915380,72,"['french hip hop', 'new french touch', 'rap conscient']",617408,69,"['belgian hip hop', 'french hip hop', 'new french touch']"
3976,66,True,5,2,79,2018-12-07,235906,3,0,4,0.263,0.706,0.553,3.44e-05,0.111,-8.056,0.112,0.392,102.996,Lomepal,Roméo Elvis,915380,72,"['french hip hop', 'new french touch', 'rap conscient']",617408,69,"['belgian hip hop', 'french hip hop', 'new french touch']"
3977,69,False,4,2,79,2018-10-05,202120,11,0,4,0.493,0.692,0.542,2.75e-06,0.247,-7.9,0.197,0.285,105.005,Angèle,Roméo Elvis,1351034,73,"['belgian pop', 'variete francaise']",617408,69,"['belgian hip hop', 'french hip hop', 'new french touch']"
3978,55,True,6,2,79,2019-11-08,228786,8,0,4,0.318,0.783,0.534,0.0,0.12,-8.385,0.0921,0.29,140.044,Alkpote,Roméo Elvis,146707,60,"['french hip hop', 'pop urbaine', 'rap francais']",617408,69,"['belgian hip hop', 'french hip hop', 'new french touch']"
3979,0,True,3,2,0,2018-06-01,260423,8,1,4,0.682,0.859,0.491,0.0,0.101,-8.942,0.443,0.376,112.026,Caballero & JeanJass,Roméo Elvis,213395,68,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap calme', 'rap francais']",617408,69,"['belgian hip hop', 'french hip hop', 'new french touch']"
3980,65,False,1,2,79,2018-02-02,184400,9,1,4,0.141,0.573,0.784,0.0,0.0844,-5.224,0.0591,0.69,82.009,Therapie TAXI,Roméo Elvis,293684,64,"['french indie pop', 'french indietronica', 'new french touch']",617408,69,"['belgian hip hop', 'french hip hop', 'new french touch']"
3981,58,True,3,2,79,2018-12-07,249560,0,0,4,0.252,0.744,0.512,0.00191,0.107,-8.429,0.255,0.451,140.443,Lomepal,JeanJass,915380,72,"['french hip hop', 'new french touch', 'rap conscient']",23540,51,['belgian hip hop']
3982,0,False,1,2,0,2018-01-05,176326,6,0,4,0.0383,0.686,0.945,1.42e-05,0.0898,-3.123,0.0598,0.112,98.008,Simone & Simaria,Alok,4296021,70,"['funk carioca', 'pop nacional', 'sertanejo pop', 'sertanejo universitario']",7477185,80,"['brazilian edm', 'electro house', 'pop nacional']"
3983,79,False,1,3,79,2019-06-07,166451,10,0,4,0.0312,0.797,0.86,0.0137,0.334,-4.38,0.0413,0.192,124.033,MEDUZA,Alok,241223,82,['pop house'],7477185,80,"['brazilian edm', 'electro house', 'pop nacional']"
3984,59,False,1,2,79,2016-05-10,259693,6,1,4,0.0507,0.88,0.694,0.675,0.366,-5.733,0.108,0.486,122.025,Sevenn,Alok,119789,67,['brazilian edm'],7477185,80,"['brazilian edm', 'electro house', 'pop nacional']"
3985,85,False,1,2,79,2019-10-25,159011,5,0,4,0.298,0.668,0.892,0.0,0.735,-3.001,0.0645,0.478,95.927,Lizzo,Ariana Grande,2523006,82,"['escape room', 'minnesota hip hop', 'pop', 'pop rap', 'trap queen']",44813638,92,"['dance pop', 'pop', 'post-teen pop']"
3986,10,True,1,2,0,2018-06-14,189360,7,1,5,0.0551,0.589,0.714,0.00013,0.131,-6.308,0.258,0.42,118.611,Nicki Minaj,Ariana Grande,17479503,91,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",44813638,92,"['dance pop', 'pop', 'post-teen pop']"
3987,69,True,6,2,79,2018-08-10,189533,7,1,4,0.0348,0.757,0.73,6.17e-05,0.136,-6.304,0.187,0.451,90.013,Nicki Minaj,Ariana Grande,17479503,91,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",44813638,92,"['dance pop', 'pop', 'post-teen pop']"
3988,63,True,9,2,79,2019-03-01,245893,8,0,4,0.158,0.592,0.584,2.63e-06,0.132,-6.232,0.0893,0.447,88.073,2 Chainz,Ariana Grande,5447497,83,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",44813638,92,"['dance pop', 'pop', 'post-teen pop']"
3989,7,False,13,3,0,2014-08-22,199320,0,0,4,0.283,0.703,0.747,0.0,0.396,-4.446,0.0895,0.7,149.974,Jessie J,Ariana Grande,7334330,75,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'uk pop', 'viral pop']",44813638,92,"['dance pop', 'pop', 'post-teen pop']"
3990,14,False,4,3,0,2014-10-10,199386,0,0,4,0.259,0.711,0.774,0.0,0.371,-3.391,0.0922,0.715,150.032,Jessie J,Ariana Grande,7334330,75,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'uk pop', 'viral pop']",44813638,92,"['dance pop', 'pop', 'post-teen pop']"
3991,6,True,5,2,0,2017-04-28,258188,0,0,3,0.103,0.365,0.413,3.13e-05,0.103,-7.369,0.0507,0.125,84.746,Cashmere Cat,Ariana Grande,300580,63,"['downtempo', 'edm', 'electronic trap', 'electropop', 'pop', 'post-teen pop', 'shiver pop']",44813638,92,"['dance pop', 'pop', 'post-teen pop']"
3992,9,False,1,2,0,2018-06-13,231846,11,1,4,0.00632,0.736,0.756,0.00577,0.106,-7.099,0.047,0.712,117.016,Troye Sivan,Ariana Grande,4446560,81,"['australian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",44813638,92,"['dance pop', 'pop', 'post-teen pop']"
